	Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
20	ENSMLUP00000010748|ENSMLUG00000011755|ENSMLUT00000011796|protein_coding|ARFGEF1|ADP-ENSOPRP00000002564|ENSOPRG00000002729|ENSOPRT00000002785|protein_coding|ARFGEF1|ADP	MA	0.020988299999999998	0.0678569	0.309302	1.26803e-05	4101	273.572	3827.43		96	18.0204	77.9796			0.0241148	1.83383:1.61623:1.13201:1.45498:0.226922:1	0.555023(0.455211:0.324789:0.88507)	-5025.0			
21	ENSMLUP00000006999|ENSMLUG00000007568|ENSMLUT00000007667|protein_coding|ROS1|ROS-ENSOPRP00000014046|ENSOPRG00000015334|ENSOPRT00000015377|protein_coding|ROS1|ROS	MA	0.102338	0.247531	0.413434	1.0293199999999999e-13	5388	397.991	4990.01		550	88.9444	461.056			0.11306300000000001	1.3244:1.57904:0.751184:1.36495:0.441918:1	0.574099(0.455137:0.364289:0.902871)	-8131.96			
22	ENSMLUP00000011674|ENSMLUG00000012821|ENSMLUT00000012832|protein_coding|EIF4G1|eukaryotic-ENSOPRP00000013632|ENSOPRG00000014891|ENSOPRT00000014930|protein_coding|EIF4G1|eukaryotic	MA	0.0453228	0.0838026	0.540828	0.0014803	4404	394.309	4009.69		204	31.3864	172.614			0.0487681	0.989797:0.966562:0.793066:1.00329:0.359061:1	0.669146(0.581177:0.451488:0.974774)	-5802.56			
23	ENSMLUP00000006988|ENSMLUG00000007632|ENSMLUT00000007654|protein_coding|DCAF1|DDB1-ENSOPRP00000015259|ENSOPRG00000016697|ENSOPRT00000016708|protein_coding|DCAF1|DDB1	MA	0.017758000000000003	0.06279119999999999	0.28281	8.399439999999999e-06	3909	303.67	3605.33		81	18.5879	62.4121			0.0212564	2.60752:3.13326:2.2739:2.69987:1.13575:1	0.615101(0.52279:0.372928:0.949586)	-4781.76			
24	ENSMLUP00000012120|ENSMLUG00000013315|ENSMLUT00000013322|protein_coding|KDM2B|lysine-ENSOPRP00000013925|ENSOPRG00000015228|ENSOPRT00000015246|protein_coding|KDM2B|lysine	MA	0.0226267	0.0364332	0.621045	0.115401	3786	321.207	3464.79		87	11.3	75.7			0.023798	1.52465:1.26735:0.849393:1.51722:0.276215:1	0.63974(0.517611:0.418836:0.982772)	-4663.06			
25	ENSMLUP00000009579|ENSMLUG00000010458|ENSMLUT00000010507|protein_coding|EIF2AK4|eukaryotic-ENSOPRP00000007850|ENSOPRG00000008540|ENSOPRT00000008578|protein_coding|EIF2AK4|eukaryotic	MA	0.0413711	0.100037	0.41355600000000003	9.407440000000001e-05	4185	282.594	3902.41		181	26.9711	154.029			0.045332599999999994	1.65302:1.98623:1.07875:1.53134:0.227541:1	0.597737(0.51697:0.338152:0.938089)	-5456.54			
26	ENSMLUP00000018414|ENSMLUG00000023786|ENSMLUT00000031055|protein_coding|USP47|ubiquitin-ENSOPRP00000008942|ENSOPRG00000009759|ENSOPRT00000009780|protein_coding|USP47|ubiquitin	MA	0.0142232	0.0525418	0.270703	0.000179448	3666	224.8	3441.2		59	11.4699	47.5301			0.0165729	1.76298:1.62771:1.63793:1.80946:0.715609:1	0.592511(0.490088:0.339207:0.948238)	-4352.96			
27	ENSMLUP00000008885|ENSMLUG00000009694|ENSMLUT00000009745|protein_coding|SIN3A|SIN3-ENSOPRP00000007642|ENSOPRG00000008345|ENSOPRT00000008351|protein_coding|SIN3A|SIN3	MA	0.013449899999999999	0.0345794	0.388957	0.029452499999999996	3591	237.035	3353.97		52	7.99555	44.0045			0.0148446	1.71669:2.05023:1.20395:1.57682:0.01:1	0.645363(0.564327:0.371763:1)	-4257.51			
28	ENSMLUP00000011868|ENSMLUG00000013034|ENSMLUT00000013047|protein_coding|SLIT3|slit-ENSOPRP00000003218|ENSOPRG00000003446|ENSOPRT00000003504|protein_coding|SLIT3|slit	MA	0.0351798	0.10910399999999999	0.322444	9.87135e-07	3672	256.70099999999996	3415.3		142	26.8431	115.15700000000001			0.0403476	1.57057:1.91412:1.22889:1.61145:0.49725:1	0.627524(0.501496:0.42371:0.957367)	-4779.32			
29	ENSMLUP00000002355|ENSMLUG00000002581|ENSMLUT00000002590|protein_coding|DROSHA|drosha-ENSOPRP00000009935|ENSOPRG00000010845|ENSOPRT00000010872|protein_coding|DROSHA|drosha	MA	0.030426799999999997	0.057842	0.5260319999999999	0.0124156	3474	292.51599999999996	3181.48		109	16.2172	92.7828			0.032735200000000006	0.306595:1.51548:0.447822:1.35201:0.204045:1	0.601164(0.5:0.38246:0.921033)	-4417.87			
30	ENSMLUP00000014793|ENSMLUG00000016212|ENSMLUT00000016234|protein_coding|TNIK|TRAF2-ENSOPRP00000009616|ENSOPRG00000010481|ENSOPRT00000010523|protein_coding|TNIK|TRAF2	MA	0.0123615	0.037444099999999994	0.330131	0.00631266	3339	211.15900000000002	3127.84		45	7.639869999999999	37.3601			0.0139477	1.08905:1.29388:1.05536:1.12917:0.508496:1	0.608542(0.510188:0.37931:0.936129)	-3919.07			
31	ENSMLUP00000018162|ENSMLUG00000015253|ENSMLUT00000025581|protein_coding|MAPKBP1|mitogen-activated-ENSOPRP00000003169|ENSOPRG00000003420|ENSOPRT00000003452|protein_coding|MAPKBP1|mitogen-activated	MA	0.0659716	0.168965	0.390445	9.512319999999998e-10	4185	367.005	3817.99		289	57.0938	231.90599999999998			0.07500369999999999	1.18471:1.19629:0.909112:1.14818:0.244628:1	0.687216(0.569892:0.491756:1)	-5868.71			
32	ENSMLUP00000007213|ENSMLUG00000007884|ENSMLUT00000007899|protein_coding|MET|MET-ENSOPRP00000000808|ENSOPRG00000000875|ENSOPRT00000000880|protein_coding|MET|MET	MA	0.0656941	0.236553	0.27771399999999996	3.9580599999999995e-15	4146	244.37599999999998	3901.62		293	53.9209	239.079			0.075765	1.06633:2.61029:0.781226:1.40967:0.592715:1	0.630634(0.509038:0.383225:0.999638)	-5820.31			
33	ENSMLUP00000007052|ENSMLUG00000007687|ENSMLUT00000007725|protein_coding|POLQ|DNA-ENSOPRP00000005563|ENSOPRG00000006048|ENSOPRT00000006064|protein_coding|POLQ|DNA	MA	0.13822	0.291568	0.474059	7.57003e-13	5529	414.79	5114.21		728	106.355	621.645			0.149725	1.50694:1.52758:1.21828:1.48359:0.457968:1	0.563923(0.468724:0.344033:0.879012)	-8744.41			
34	ENSMLUP00000016207|ENSMLUG00000017764|ENSMLUT00000017768|protein_coding|INO80|INO80-ENSOPRP00000000783|ENSOPRG00000000831|ENSOPRT00000000853|protein_coding|INO80|INO80	MA	0.0187231	0.0474079	0.394936	0.00526014	3435	247.423	3187.58		69	11.3338	57.6662			0.0207893	0.739893:0.773636:0.608992:0.758856:0.347346:1	0.554199(0.447943:0.347044:0.867609)	-4180.63			
35	ENSMLUP00000014966|ENSMLUG00000016405|ENSMLUT00000016423|protein_coding|SLIT2|slit-ENSOPRP00000008706|ENSOPRG00000009500|ENSOPRT00000009521|protein_coding|SLIT2|slit	MA	0.042680199999999995	0.125572	0.339886	4.1033e-06	3531	210.08700000000002	3320.91		158	24.7933	133.207			0.047612	0.945245:1.41446:0.69254:1.1584:0.299944:1	0.60245(0.463994:0.406459:0.936897)	-4661.36			
36	ENSMLUP00000007434|ENSMLUG00000008096|ENSMLUT00000008143|protein_coding|XDH|xanthine-ENSOPRP00000011213|ENSOPRG00000012270|ENSOPRT00000012288|protein_coding|XDH|xanthine	MA	0.0580741	0.08599	0.675359	0.0500272	3855	298.693	3556.31		220	24.3337	195.666			0.060237099999999995	1.1253:1.20871:1.01998:1.18346:0.558424:1	0.642804(0.522864:0.424288:0.981259)	-5289.01			
37	ENSMLUP00000011888|ENSMLUG00000013064|ENSMLUT00000013069|protein_coding|FBXO38|F-box-ENSOPRP00000012263|ENSOPRG00000013416|ENSOPRT00000013435|protein_coding|FBXO38|F-box	MA	0.0177559	0.0132791	1.33713	0.63879	3282	303.263	2978.74		56	3.96215	52.0378			0.0173422	0.585624:1.30415:0.844548:1.84347:0.332711:1	0.621519(0.513924:0.389451:0.961181)	-3936.38			
38	ENSMLUP00000006517|ENSMLUG00000007103|ENSMLUT00000007140|protein_coding|DUOX1|dual-ENSOPRP00000003882|ENSOPRG00000004147|ENSOPRT00000004211|protein_coding|DUOX1|dual	MA	0.14125	0.250751	0.5633090000000001	4.0343e-08	4515	470.376	4044.62		605	103.53	501.47			0.152658	0.821401:1.47766:0.746096:1.39479:0.50976:1	0.662266(0.566007:0.424422:0.99637)	-7282.9			
39	ENSMLUP00000002846|ENSMLUG00000003129|ENSMLUT00000003132|protein_coding|PHLDB2|pleckstrin-ENSOPRP00000008689|ENSOPRG00000009494|ENSOPRT00000009504|protein_coding|PHLDB2|pleckstrin	MA	0.047976300000000006	0.12395199999999999	0.38705500000000004	2.53525e-05	3462	220.85	3241.15		172	25.7472	146.253			0.052823	1.46914:1.35331:0.983884:1.28122:0.281979:1	0.618895(0.492394:0.402322:0.96197)	-4573.33			
40	ENSMLUP00000008541|ENSMLUG00000009350|ENSMLUT00000009371|protein_coding|BAG6|BCL2-ENSOPRP00000011042|ENSOPRG00000012082|ENSOPRT00000012098|protein_coding|BAG6|BCL2	MA	0.0380547	0.0466745	0.815321	0.36645300000000003	3324	345.51800000000003	2978.48		124	15.4453	108.555			0.038950599999999995	0.780776:2.89494:1.55904:1.79077:1.26367:1	0.721777(0.65107:0.520945:0.993316)	-4229.5			
41	ENSMLUP00000014280|ENSMLUG00000015662|ENSMLUT00000015678|protein_coding|TAOK1|TAO-ENSOPRP00000007051|ENSOPRG00000007682|ENSOPRT00000007700|protein_coding|TAOK1|TAO	MA	0.0040643	0.0394964	0.102903	0.00128236	2757	101.052	2655.95		14	3.77909	10.2209			0.00536299	0.61463:2.70991:0.667918:0.736924:0.741832:1	0.6125(0.53:0.3485:0.959)	-3089.75			
42	ENSMLUP00000015971|ENSMLUG00000017514|ENSMLUT00000017519|protein_coding|HIPK2|homeodomain-ENSOPRP00000006429|ENSOPRG00000007011|ENSOPRT00000007020|protein_coding|HIPK2|homeodomain	MA	0.0376765	0.078592	0.479394	0.00565913	3129	222.33900000000003	2906.66		121	16.6502	104.35			0.0405839	0.793911:0.865515:1.06582:1.10813:1.02052:1	0.62242(0.486005:0.439355:0.9419)	-4046.1			
43	ENSMLUP00000014281|ENSMLUG00000015661|ENSMLUT00000015679|protein_coding|MINK1|misshapen-ENSOPRP00000005338|ENSOPRG00000005781|ENSOPRT00000005814|protein_coding|MINK1|misshapen	MA	0.0200959	0.055015499999999995	0.365277	0.00295857	2955	231.46	2723.54		65	12.2685	52.7315			0.022831099999999997	1.18354:1.19135:1.04193:1.21877:0.407385:1	0.603504(0.51467:0.394866:0.900978)	-3617.49			
44	ENSMLUP00000014810|ENSMLUG00000016235|ENSMLUT00000016254|protein_coding|POLR3B|RNA-ENSOPRP00000007865|ENSOPRG00000008568|ENSOPRT00000008594|protein_coding|POLR3B|RNA	MA	0.0169482	0.0340851	0.49723100000000003	0.0601394	2883	191.889	2691.11		51	6.39633	44.6037			0.018088800000000002	1.4139:1.37149:1.5309:1.52079:1.00538:1	0.579134(0.472591:0.340407:0.924403)	-3466.42			
45	ENSMLUP00000005245|ENSMLUG00000005727|ENSMLUT00000005738|protein_coding|MAP4K4|mitogen-activated-ENSOPRP00000009134|ENSOPRG00000009971|ENSOPRT00000009997|protein_coding|MAP4K4|mitogen-activated	MA	0.0424439	0.101486	0.41822200000000004	0.000111605	3156	263.564	2892.44		140	25.046	114.954			0.047374599999999996	1.89284:0.807797:0.411661:1.33128:1.0321:1	0.659696(0.554658:0.42443:1)	-4129.86			
46	ENSMLUP00000013673|ENSMLUG00000015001|ENSMLUT00000015016|protein_coding|ERBB2|erb-b2-ENSOPRP00000012202|ENSOPRG00000013342|ENSOPRT00000013371|protein_coding|ERBB2|erb-b2	MA	0.0848742	0.10879100000000001	0.7801560000000001	0.146801	3534	347.42	3186.58		285	34.9449	250.055			0.0872255	0.918998:1.19544:0.617851:1.05919:0.246669:1	0.671398(0.577859:0.459043:0.977291)	-5144.91			
47	ENSMLUP00000011977|ENSMLUG00000013153|ENSMLUT00000013165|protein_coding|RREB1|ras-ENSOPRP00000001838|ENSOPRG00000001966|ENSOPRT00000001993|protein_coding|RREB1|ras	MA	0.17005	0.39979899999999996	0.425339	8.8038e-22	4842	438.685	4403.32		772	146.50799999999998	625.492			0.190865	1.39552:1.54674:0.848176:1.45271:0.414292:1	0.696285(0.579876:0.509288:0.99969)	-7978.74			
48	ENSMLUP00000010203|ENSMLUG00000011163|ENSMLUT00000011195|protein_coding|DHX9|DExH-box-ENSOPRP00000014730|ENSOPRG00000016111|ENSOPRT00000016121|protein_coding|DHX9|DExH-box	MA	0.0289589	0.06843869999999999	0.42313599999999996	0.00343008	2988	225.83	2762.17		92	14.8977	77.1023			0.031942700000000004	1.21499:1.49871:0.951933:1.3159:0.306191:1	0.595859(0.502172:0.352737:0.932667)	-3768.06			
49	ENSMLUP00000013189|ENSMLUG00000014478|ENSMLUT00000014500|protein_coding|MAP3K4|mitogen-activated-ENSOPRP00000005822|ENSOPRG00000006331|ENSOPRT00000006348|protein_coding|MAP3K4|mitogen-activated	MA	0.0651462	0.10868399999999999	0.5994109999999999	0.00863902	3351	267.57	3083.43		215	27.1894	187.81099999999998			0.0686226	1.51542:1.61789:1.28308:1.64725:0.580891:1	0.565904(0.469935:0.362745:0.865033)	-4659.49			
50	ENSMLUP00000010796|ENSMLUG00000011831|ENSMLUT00000011850|protein_coding|ABCB1|ATP-ENSOPRP00000004064|ENSOPRG00000004364|ENSOPRT00000004409|protein_coding|ABCB1|ATP	MA	0.0762379	0.12256600000000001	0.622016	0.00926994	3645	314.991	3330.01		271	35.7718	235.22799999999998			0.0802415	1.07663:1.87506:0.558057:1.59281:0.251596:1	0.620553(0.504348:0.377075:0.980237)	-5097.12			
51	ENSMLUP00000005214|ENSMLUG00000005694|ENSMLUT00000005706|protein_coding|CACNA1F|calcium-ENSOPRP00000002529|ENSOPRG00000002687|ENSOPRT00000002744|protein_coding	MA	0.054287199999999994	0.101809	0.533226	0.00340646	3273	278.067	2994.93		180	26.6938	153.306			0.0583245	0.95062:1.73479:0.441888:1.22623:0.528731:1	0.516765(0.434642:0.322216:0.793437)	-4458.26			
52	ENSMLUP00000013467|ENSMLUG00000014792|ENSMLUT00000014799|protein_coding|ERBIN|erbb2-ENSOPRP00000011039|ENSOPRG00000012086|ENSOPRT00000012095|protein_coding|ERBIN|erbb2	MA	0.0612135	0.214256	0.285702	2.89985e-11	3438	198.48	3239.52		225	39.7306	185.269			0.07004880000000001	2.2565:2.34413:1.75921:2.1207:0.429321:1	0.574798(0.478307:0.338905:0.907183)	-4696.64			
53	ENSMLUP00000011174|ENSMLUG00000012258|ENSMLUT00000012271|protein_coding|DAB2IP|DAB2-ENSOPRP00000009402|ENSOPRG00000010269|ENSOPRT00000010295|protein_coding|DAB2IP|DAB2	MA	0.0144202	0.0288425	0.499963	0.0416173	2787	251.824	2535.18		43	7.12717	35.8728			0.0157233	2.99133:3.45023:2.5135:3.04229:0.287945:1	0.641186(0.538462:0.438462:0.946635)	-3329.56			
54	ENSMLUP00000011617|ENSMLUG00000012756|ENSMLUT00000012768|protein_coding|JAK2|Janus-ENSOPRP00000000020|ENSOPRG00000000022|ENSOPRT00000000022|protein_coding|JAK2|Janus	MA	0.0307955	0.0869597	0.354135	0.00020978900000000002	2943	181.12900000000002	2761.87		97	15.1565	81.8435			0.034252099999999994	1.14432:1.37165:0.890026:1.25675:0.297521:1	0.571681(0.460619:0.320796:0.933628)	-3733.57			
55	ENSMLUP00000002988|ENSMLUG00000003269|ENSMLUT00000003286|protein_coding|SBNO2|strawberry-ENSOPRP00000015736|ENSOPRG00000017238|ENSOPRT00000017240|protein_coding|SBNO2|strawberry	MA	0.0870636	0.20436700000000002	0.426016	2.0562800000000003e-09	3621	345.603	3275.4		324	64.3176	259.682			0.0982595	1.44883:1.16505:0.699942:1.19507:0.386035:1	0.674952(0.579122:0.445733:1)	-5345.87			
56	ENSMLUP00000006456|ENSMLUG00000007043|ENSMLUT00000007068|protein_coding|MAP3K5|mitogen-activated-ENSOPRP00000001955|ENSOPRG00000002083|ENSOPRT00000002121|protein_coding|MAP3K5|mitogen-activated	MA	0.040468699999999996	0.0383961	1.05398	0.999976	3105	245.658	2859.34		121	9.119819999999999	111.88			0.0403047	1.51877:1.5593:1.20781:1.76049:0.440314:1	0.564131(0.474273:0.332215:0.885906)	-4021.21			
57	ENSMLUP00000005936|ENSMLUG00000006490|ENSMLUT00000006500|protein_coding|PUM1|pumilio-ENSOPRP00000001650|ENSOPRG00000001776|ENSOPRT00000001788|protein_coding|PUM1|pumilio	MA	0.00550824	0.00016524200000000001	33.3343	0.463513	2613	255.017	2357.98		13	0.0420411	12.958			0.00498679	1.30877:3.26468:4.05126:4.51522:0.760327:1	0.593873(0.519815:0.395025:0.866779)	-2966.03			
58	ENSMLUP00000010173|ENSMLUG00000011127|ENSMLUT00000011161|protein_coding|RC3H1|ring-ENSOPRP00000011941|ENSOPRG00000013068|ENSOPRT00000013087|protein_coding|RC3H1|ring	MA	0.0423667	0.0391996	1.08079	0.9999979999999999	3069	293.813	2775.19		124	11.062999999999999	112.93700000000001			0.0420635	0.968952:2.17547:0.329941:1.61211:0.108844:1	0.657871(0.572004:0.444544:0.957066)	-3988.74			
59	ENSMLUP00000012754|ENSMLUG00000014000|ENSMLUT00000014021|protein_coding|PLA2R1|phospholipase-ENSOPRP00000011308|ENSOPRG00000012370|ENSOPRT00000012388|protein_coding|PLA2R1|phospholipase	MA	0.13826300000000002	0.559343	0.24718800000000002	3.44394e-40	4023	251.25900000000001	3771.74		554	117.60600000000001	436.394			0.16456199999999999	1.24255:1.52076:0.703027:1.26503:0.348953:1	0.608556(0.46534:0.40048:0.959849)	-6425.8			
