	Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
10	ENSDORP00000000918|ENSDORG00000000975|ENSDORT00000000978|protein_coding|Gcn1l1|GCN1-ENSRNOP00000001517|ENSRNOG00000021871|ENSRNOT00000001517|protein_coding|Gcn1|GCN1,	MA	0.0265237	0.0538753	0.492316	6.00522e-05	7926	790.9830000000001	7135.02		225	41.3533	183.64700000000002			0.029253199999999997	1.45794:2.30326:0.780176:1.56256:0.502364:1	0.666414(0.602157:0.397465:0.999622)	-9911.97			
11	ENSDORP00000024966|ENSDORG00000007058|ENSDORT00000031597|protein_coding|Ubr5|ubiquitin-ENSRNOP00000009115|ENSRNOG00000006816|ENSRNOT00000009115|protein_coding|Ubr5|ubiquitin	MA	0.015812100000000003	0.044360699999999996	0.356443	3.95281e-05	7287	555.42	6731.58		127	23.8721	103.12799999999999			0.017988	1.49065:2.73728:1.08578:2.09254:1.59434:1	0.662757(0.546296:0.442387:0.999588)	-8760.42			
12	ENSDORP00000012875|ENSDORG00000013688|ENSDORT00000013692|protein_coding|Atm|ATM-ENSRNOP00000072646|ENSRNOG00000029773|ENSRNOT00000086812|protein_coding|Atm|ATM	MA	0.0793591	0.12361	0.642012	0.000260718	9153	663.284	8489.72		701	76.0514	624.9490000000001			0.0825658	1.82731:1.89259:1.40987:1.76242:0.439009:1	0.623307(0.519004:0.351245:0.999672)	-13055.5			
13	ENSDORP00000000657|ENSDORG00000000703|ENSDORT00000000704|protein_coding|Rev3l|REV3-ENSRNOP00000054053|ENSRNOG00000000593|ENSRNOT00000057227|protein_coding|Rev3l|REV3	MA	0.0925053	0.20879299999999998	0.44304899999999997	6.412860000000001e-15	9258	592.4780000000001	8665.52		842	112.56700000000001	729.433			0.0999472	1.48251:1.91162:0.712745:1.63947:0.580087:1	0.632113(0.49174:0.404924:0.999676)	-13519.7			
14	ENSDORP00000001539|ENSDORG00000001645|ENSDORT00000001645|protein_coding|Pole|DNA-ENSRNOP00000058920|ENSRNOG00000037449|ENSRNOT00000067453|protein_coding|Pole|DNA	MA	0.03442340000000001	0.10459500000000001	0.329113	2.858e-11	6840	506.035	6333.96		256	50.0053	205.995			0.039614800000000006	1.58019:3.1073:0.419216:1.98956:0.429307:1	0.63364(0.528715:0.372644:0.999562)	-8809.93			
15	ENSDORP00000011430|ENSDORG00000012152|ENSDORT00000012155|protein_coding|Trip12|thyroid-ENSRNOP00000076130|ENSRNOG00000016963|ENSRNOT00000093245|protein_coding|Trip12|thyroid	MA	0.0057378	0.0247893	0.231463	0.000175673	6075	451.773	5623.23		42	10.8219	31.1781			0.00715459	1.38381:1.51669:1.51091:1.53073:0.991331:1	0.658934(0.536525:0.44077:0.999506)	-6986.8			
16	ENSDORP00000000367|ENSDORG00000000389|ENSDORT00000000390|protein_coding|Atr|ATR-ENSRNOP00000043760|ENSRNOG00000010027|ENSRNOT00000049967|protein_coding|Atr|ATR	MA	0.0751034	0.13932	0.5390729999999999	2.96647e-07	7761	630.736	7130.26		577	81.3359	495.664			0.08032230000000001	1.15466:1.93845:0.490113:1.36394:0.227927:1	0.628671(0.532844:0.353555:0.999614)	-11005.7			
17	ENSDORP00000008051|ENSDORG00000008572|ENSDORT00000008573|protein_coding|Ascc3|activating-ENSRNOP00000053848|ENSRNOG00000037604|ENSRNOT00000057016|protein_coding|Ascc3|activating	MA	0.0340962	0.0589951	0.5779489999999999	0.00401601	6603	528.1709999999999	6074.83		230	30.0758	199.924			0.0360878	1.66754:1.92386:1.18133:1.93032:0.412731:1	0.629352(0.539055:0.349228:0.999773)	-8416.08			
18	ENSDORP00000020471|ENSDORG00000010126|ENSDORT00000032725|protein_coding|Lrrk2|leucine-ENSRNOP00000005438|ENSRNOG00000004048|ENSRNOT00000005438|protein_coding|Lrrk2|leucine-rich	MA	0.0720637	0.133614	0.539342	6.869079999999999e-07	7575	610.309	6964.69		544	76.0325	467.968			0.0770227	1.98947:1.98886:1.56786:1.9028:0.41014:1	0.62721(0.541964:0.340063:0.999604)	-10638.2			
19	ENSDORP00000024440|ENSDORG00000014710|ENSDORT00000031093|protein_coding|Myof|myoferlin-ENSRNOP00000073727|ENSRNOG00000016117|ENSRNOT00000089456|protein_coding|Myof|myoferlin	MA	0.028110500000000004	0.0857307	0.327893	4.05744e-08	6144	421.49699999999996	5722.5		189	34.6683	154.332			0.0320634	1.04855:1.24906:0.828543:1.11502:0.335644:1	0.635269(0.52611:0.380185:0.999512)	-7752.72			
20	ENSDORP00000026662|ENSDORG00000015056|ENSDORT00000030093|protein_coding|Dysf|dysferlin-ENSRNOP00000074138|ENSRNOG00000032788|ENSRNOT00000085765|protein_coding|Dysf|dysferlin	MA	0.052065	0.104333	0.49902700000000005	7.06811e-06	6240	534.9069999999999	5705.09		333	52.6698	280.33			0.056545500000000005	1.4209:1.46181:1.1443:1.5314:0.427925:1	0.652811(0.556704:0.40221:0.999519)	-8499.27			
21	ENSDORP00000018863|ENSDORG00000027540|ENSDORT00000036458|protein_coding|Atrx|ATRX-ENSRNOP00000070457|ENSRNOG00000056703|ENSRNOT00000087977|protein_coding|Atrx|ATRX,	MA	0.08108510000000001	0.29019	0.27942100000000003	3.0141399999999997e-26	7338	364.074	6973.93		600	94.4529	505.54699999999997			0.0914599	1.1603:1.00962:0.719083:1.06362:0.536956:1	0.621509(0.491009:0.373927:0.999591)	-10290.8			
22	ENSDORP00000010140|ENSDORG00000010784|ENSDORT00000010792|protein_coding|Zfyve26|zinc-ENSRNOP00000074087|ENSRNOG00000059875|ENSRNOT00000079351|protein_coding|Zfyve26|zinc	MA	0.103004	0.226463	0.454838	6.57001e-16	7605	644.215	6960.79		773	130.695	642.305			0.113462	1.32669:2.14165:0.353548:1.25563:0.417955:1	0.668638(0.583005:0.423304:0.999606)	-11509.0			
23	ENSDORP00000005537|ENSDORG00000005911|ENSDORT00000005912|protein_coding|Ptprf|protein-ENSRNOP00000068583|ENSRNOG00000019977|ENSRNOT00000078302|protein_coding|Ptprf|protein	MA	0.0261765	0.0580371	0.451031	0.00031155099999999997	5676	468.11199999999997	5207.89		158	26.2552	131.745			0.028804200000000002	1.20914:1.6877:0.883951:1.22845:0.353878:1	0.667899(0.559165:0.445061:0.999472)	-7137.24			
24	ENSDORP00000013341|ENSDORG00000014190|ENSDORT00000014190|protein_coding|Setd2|SET-ENSRNOP00000075606|ENSRNOG00000020915|ENSRNOT00000087154|protein_coding|Setd2|SET	MA	0.0937347	0.324708	0.288674	1.21944e-34	6909	466.816	6442.18		663	133.032	529.9680000000001			0.10934100000000001	1.79427:0.940188:0.422782:1.29706:0.591914:1	0.646774(0.498915:0.44184:0.999566)	-10183.8			
25	ENSDORP00000004219|ENSDORG00000004508|ENSDORT00000004509|protein_coding|Smchd1|structural-ENSRNOP00000019359|ENSRNOG00000014319|ENSRNOT00000019359|protein_coding|Smchd1|structural	MA	0.058873699999999994	0.11021600000000001	0.534165	0.000293763	5652	385.215	5266.78		332	39.9843	292.01599999999996			0.062373000000000005	1.7208:2.13725:1.01411:1.74131:0.370908:1	0.630239(0.52626:0.364721:0.999735)	-7672.22			
26	ENSDORP00000026869|ENSDORG00000011518|ENSDORT00000032623|protein_coding|Notch1|notch-ENSRNOP00000026212|ENSRNOG00000019322|ENSRNOT00000026212|protein_coding|Notch1|notch	MA	0.096571	0.219729	0.43950100000000003	9.620010000000001e-13	6372	479.293	5892.71		602	94.0113	507.98900000000003			0.10583499999999998	0.957539:1.08681:0.650477:1.05567:0.315214:1	0.697176(0.564941:0.527059:0.999529)	-9473.79			
27	ENSDORP00000006939|ENSDORG00000007397|ENSDORT00000007397|protein_coding|Lamb2|laminin-ENSRNOP00000065052|ENSRNOG00000047768|ENSRNOT00000072098|protein_coding|Lamb2|laminin	MA	0.0582626	0.282026	0.20658600000000002	1.8548199999999997e-36	5400	404.23400000000004	4995.77		363	102.164	260.836			0.07501310000000001	0.805443:1.57304:0.289916:0.710406:0.18061:1	0.705627(0.602998:0.514436:0.999445)	-7568.52			
28	ENSDORP00000023059|ENSDORG00000005507|ENSDORT00000028269|protein_coding|Ptprk|protein-ENSRNOP00000020988|ENSRNOG00000047605|ENSRNOT00000020988|protein_coding|Ptprk|protein	MA	0.00765603	0.036347199999999996	0.21063600000000002	2.37473e-05	4317	318.538	3998.46		41	11.2513	29.7487			0.00977307	1.04892:1.81947:1.3887:1.68476:0.906737:1	0.649074(0.536806:0.411111:0.999306)	-5064.42			
29	ENSDORP00000018938|ENSDORG00000005814|ENSDORT00000033201|protein_coding|Ccdc88c|coiled-coil-ENSRNOP00000005908|ENSRNOG00000004482|ENSRNOT00000005908|protein_coding|Ccdc88c|coiled-coil	MA	0.07353639999999999	0.255872	0.28739499999999996	2.77227e-24	5943	399.681	5543.32		465	93.2613	371.73900000000003			0.0857989	1.80832:1.81387:1.43781:1.5903:0.53436:1	0.662546(0.599899:0.388244:0.999495)	-8414.76			
30	ENSDORP00000006403|ENSDORG00000006835|ENSDORT00000006835|protein_coding|Pik3c2b|phosphatidylinositol-4-phosphate-ENSRNOP00000051488|ENSRNOG00000029938|ENSRNOT00000042125|protein_coding|Pik3c2b|phosphatidylinositol-4-phosphate	MA	0.0368941	0.077187	0.477984	0.00045369999999999997	4839	388.216	4450.78		186	28.7039	157.296			0.0401267	1.01774:1.64451:0.478964:1.24314:0.330892:1	0.6519(0.543371:0.412949:0.99938)	-6308.95			
31	ENSDORP00000002860|ENSDORG00000003044|ENSDORT00000003045|protein_coding|Mylk|myosin-ENSRNOP00000062274|ENSRNOG00000002215|ENSRNOT00000067060|protein_coding|Mylk|myosin	MA	0.0752279	0.19049000000000002	0.394919	1.56716e-12	5682	445.848	5236.15		438	77.6868	360.31300000000005			0.0842721	1.77273:1.64789:1.18601:1.53478:0.442433:1	0.662181(0.552507:0.434301:0.999736)	-8114.44			
32	ENSDORP00000009668|ENSDORG00000010285|ENSDORT00000010285|protein_coding|Rbbp6|RB-ENSRNOP00000036139|ENSRNOG00000012806|ENSRNOT00000035770|protein_coding|Rbbp6|RB	MA	0.0506847	0.159921	0.31693699999999997	4.31165e-11	5205	320.449	4884.55		274	46.9901	227.01			0.05740990000000001	2.70622:1.49322:0.547571:1.6657:0.547641:1	0.643529(0.469758:0.461406:0.999424)	-6816.8			
33	ENSDORP00000014399|ENSDORG00000015295|ENSDORT00000015297|protein_coding|Sec16a|SEC16-ENSRNOP00000060572|ENSRNOG00000019122|ENSRNOT00000064083|protein_coding|Sec16a|SEC16	MA	0.12143699999999999	0.5250520000000001	0.23128600000000002	1.1718199999999998e-80	6930	536.895	6393.11		887	236.278	650.722			0.15270699999999998	1.8252:1.56515:0.922281:1.25816:0.642578:1	0.708207(0.609693:0.515361:0.999567)	-10869.3			
34	ENSDORP00000003012|ENSDORG00000003214|ENSDORT00000003218|protein_coding|Dapk1|death-ENSRNOP00000073577|ENSRNOG00000018198|ENSRNOT00000080750|protein_coding|Dapk1|death	MA	0.0201563	0.049281	0.409007	0.00199788	4290	328.876	3961.12		94	15.8616	78.1384			0.022389	1.65393:2.4282:0.881322:1.69775:0.197537:1	0.644305(0.550664:0.3826:0.999651)	-5241.31			
35	ENSDORP00000024049|ENSDORG00000008548|ENSDORT00000026768|protein_coding|Mink1|misshapen-ENSRNOP00000050929|ENSRNOG00000033508|ENSRNOT00000040488|protein_coding|Mink1|misshapen-like	MA	0.00919402	0.0108898	0.844277	0.49504899999999996	4026	310.60900000000004	3715.39		37	3.33366	33.6663			0.00932485	1.36954:1.35418:1.19231:1.42006:0.375838:1	0.666294(0.572226:0.427401:0.999255)	-4666.19			
36	ENSDORP00000024453|ENSDORG00000005068|ENSDORT00000027962|protein_coding|Usp47|ubiquitin-ENSRNOP00000069266|ENSRNOG00000026754|ENSRNOT00000087461|protein_coding|Usp47|ubiquitin	MA	0.017196	0.053727	0.320063	8.370440000000001e-05	4125	288.813	3836.19		79	15.044	63.956			0.0197537	2.22148:1.72117:1.05908:1.96978:0.151142:1	0.625848(0.523256:0.355015:0.999273)	-4947.01			
37	ENSDORP00000015952|ENSDORG00000004287|ENSDORT00000028288|protein_coding|Tnik|TRAF2-ENSRNOP00000072950|ENSRNOG00000012422|ENSRNOT00000086399|protein_coding|Tnik|TRAF2	MA	0.00694617	0.00236041	2.94278	0.361861	3945	298.99	3646.01		26	0.704883	25.2951			0.00659862	0.308984:2.00483:0.355647:1.53296:0.01:1	0.650963(0.547492:0.406155:0.99924)	-4473.55			
38	ENSDORP00000010864|ENSDORG00000011558|ENSDORT00000011560|protein_coding|Trp53bp1|tumor-ENSRNOP00000019025|ENSRNOG00000013837|ENSRNOT00000019025|protein_coding|Tp53bp1|tumor	MA	0.10005599999999999	0.34465300000000004	0.290311	1.0091099999999999e-35	5859	470.37	5388.63		613	141.707	471.293			0.11969300000000001	1.88886:1.66583:1.17959:1.59231:0.686373:1	0.683555(0.596469:0.454708:0.999488)	-8770.46			
39	ENSDORP00000024017|ENSDORG00000023839|ENSDORT00000034962|protein_coding|Bod1l|biorientation-ENSRNOP00000067163|ENSRNOG00000050437|ENSRNOT00000070998|protein_coding|Bod1l1|biorientation	MA	0.178148	1.04821	0.169955	2.4212099999999985e-192	8241	418.664	7822.34		1406	336.73	1069.27			0.22235	4.45865:1.6308:0.542431:1.24356:1.52744:1	0.660238(0.531477:0.4496:0.999636)	-13397.7			
40	ENSDORP00000002273|ENSDORG00000002416|ENSDORT00000002419|protein_coding|Polq|DNA-ENSRNOP00000061230|ENSRNOG00000002471|ENSRNOT00000063995|protein_coding|Polq|DNA	MA	0.16376500000000002	0.37619600000000003	0.43531800000000004	6.91434e-25	7386	544.789	6841.21		1134	175.365	958.635			0.17943399999999998	1.74487:1.72992:1.41478:1.64369:0.544061:1	0.645487(0.535932:0.400934:0.999594)	-12069.3			
41	ENSDORP00000023914|ENSDORG00000011322|ENSDORT00000026694|protein_coding|Map4k4|mitogen-activated-ENSRNOP00000074373|ENSRNOG00000014013|ENSRNOT00000083322|protein_coding|Map4k4|mitogen-activated	MA	0.00813522	0.00810798	1.00336	0.740775	3852	387.741	3464.26		31	3.11105	27.8889			0.00813248	0.283543:0.691774:0.300104:1.33552:0.367338:1	0.655642(0.550584:0.417121:0.999222)	-4412.63			
42	ENSDORP00000003616|ENSDORG00000003868|ENSDORT00000003871|protein_coding|Shprh|SNF2-ENSRNOP00000071936|ENSRNOG00000014450|ENSRNOT00000088292|protein_coding|Shprh|SNF2	MA	0.0760746	0.17438599999999999	0.43624300000000005	2.0450599999999997e-08	5001	358.19	4642.81		383	57.5549	325.445			0.083116	1.93426:2.06842:1.40956:1.899:0.484663:1	0.635791(0.535372:0.372602:0.9994)	-7138.48			
43	ENSDORP00000001105|ENSDORG00000001179|ENSDORT00000001181|protein_coding|Eif2ak4|eukaryotic-ENSRNOP00000009222|ENSRNOG00000006027|ENSRNOT00000009222|protein_coding|Eif2ak4|eukaryotic	MA	0.078626	0.14086600000000002	0.5581619999999999	0.000170071	4797	375.63699999999994	4421.36		370	48.8789	321.121			0.08349989999999999	1.01346:1.51908:0.518669:1.31144:0.346829:1	0.6425(0.558125:0.37:0.999375)	-6841.08			
44	ENSDORP00000018818|ENSDORG00000004222|ENSDORT00000036527|protein_coding|Myo6|myosin-ENSRNOP00000016428|ENSRNOG00000011852|ENSRNOT00000016428|protein_coding|Myo6|myosin	MA	0.0155525	0.06591110000000001	0.235961	8.15022e-06	3852	228.851	3623.15		69	14.5701	54.4299			0.0185443	1.54845:1.60311:1.3368:1.47525:0.452655:1	0.62166(0.517899:0.34786:0.999222)	-4603.53			
45	ENSDORP00000015068|ENSDORG00000016019|ENSDORT00000016019|protein_coding|Tnr|tenascin-ENSRNOP00000068101|ENSRNOG00000002468|ENSRNOT00000076589|protein_coding|Tnr|tenascin	MA	0.0323773	0.07866210000000001	0.411599	0.00017652099999999999	4074	321.257	3752.74		141	24.2766	116.723			0.03602709999999999	1.47134:1.61484:1.09174:1.49927:0.251775:1	0.66311(0.52833:0.461737:0.999264)	-5210.64			
46	ENSDORP00000005894|ENSDORG00000006297|ENSDORT00000006298|protein_coding|Ptprs|protein-ENSRNOP00000065227|ENSRNOG00000047247|ENSRNOT00000073991|protein_coding|Ptprs|protein	MA	0.0329278	0.10858399999999999	0.303247	4.765350000000001e-09	4278	343.61300000000006	3934.39		159	35.553000000000004	123.447			0.0390046	1.10442:1.18437:0.820203:1.06797:0.201953:1	0.65568(0.542777:0.424264:1)	-5539.92			
47	ENSDORP00000015099|ENSDORG00000016054|ENSDORT00000016054|protein_coding|Top2a|DNA-ENSRNOP00000069963|ENSRNOG00000053047|ENSRNOT00000085344|protein_coding|Top2a|DNA	MA	0.0602851	0.11852599999999999	0.508622	0.000891491	4509	252.729	4256.27		269	28.1209	240.87900000000002			0.0635495	1.44458:1.51093:1.15774:1.53758:0.484928:1	0.610926(0.495678:0.337766:0.999335)	-6071.08			
48	ENSDORP00000011168|ENSDORG00000011878|ENSDORT00000011879|protein_coding|Tnc|tenascin-ENSRNOP00000071884|ENSRNOG00000058645|ENSRNOT00000084563|protein_coding|Tnc|tenascin	MA	0.11490399999999999	0.191395	0.6003470000000001	6.01275e-05	5118	391.25199999999995	4726.75		553	67.0072	485.99300000000005			0.120751	1.14403:1.16572:0.987494:1.17206:0.435701:1	0.66696(0.536321:0.464851:0.999707)	-7801.84			
49	ENSDORP00000011793|ENSDORG00000012540|ENSDORT00000012541|protein_coding|Baz1b|bromodomain-ENSRNOP00000001975|ENSRNOG00000001453|ENSRNOT00000001975|protein_coding|Baz1b|bromodomain	MA	0.050600900000000004	0.117834	0.429425	1.68227e-05	4398	281.579	4116.42		227	31.1908	195.80900000000003			0.054905499999999996	0.815632:1.86694:0.337513:1.49729:0.671474:1	0.637582(0.538855:0.374574:0.999318)	-5817.32			
50	ENSDORP00000019819|ENSDORG00000002178|ENSDORT00000029081|protein_coding|Met|MET-ENSRNOP00000070486|ENSRNOG00000052745|ENSRNOT00000086902|protein_coding|Met|MET	MA	0.0426152	0.11105899999999999	0.38371500000000003	4.24381e-06	4143	287.455	3855.54		189	30.7485	158.252			0.0473641	1.71872:2.09252:1.17631:1.72074:0.340067:1	0.630608(0.509407:0.38314:0.999276)	-5457.75			
51	ENSDORP00000018679|ENSDORG00000023390|ENSDORT00000031058|protein_coding|Zeb2|zinc-ENSRNOP00000006350|ENSRNOG00000004677|ENSRNOT00000006350|protein_coding|Zeb2|zinc	MA	0.0122729	0.042971300000000004	0.285607	0.00477647	3642	162.02700000000002	3479.97		48	6.72818	41.2718			0.013638599999999999	0.662323:1.84608:0.660729:1.03152:0.417428:1	0.636077(0.508642:0.4:0.999588)	-4238.91			
52	ENSDORP00000021606|ENSDORG00000016250|ENSDORT00000030899|protein_coding|Cadps2|calcium-ENSRNOP00000060154|ENSRNOG00000007636|ENSRNOT00000068404|protein_coding|Cadps2|calcium	MA	0.014495500000000001	0.00596823	2.4287799999999997	0.31850700000000004	3576	352.345	3223.66		48	2.06707	45.9329			0.0136553	0.539433:2.16024:0.386594:2.27891:0.0318661:1	0.632858(0.552808:0.346605:0.999162)	-4232.69			
53	ENSDORP00000000590|ENSDORG00000000634|ENSDORT00000000634|protein_coding|Hipk2|homeodomain-ENSRNOP00000060564|ENSRNOG00000007034|ENSRNOT00000064891|protein_coding|Hipk2|homeodomain	MA	0.0124986	0.0328461	0.38051999999999997	0.018472	3576	277.613	3298.39		49	8.87514	40.1249			0.0140782	1.40512:2.71678:1.33299:2.04232:0.63645:1	0.667505(0.525566:0.477787:0.999162)	-4220.68			
54	ENSDORP00000016039|ENSDORG00000014723|ENSDORT00000030064|protein_coding|Phlpp1|PH-ENSRNOP00000003840|ENSRNOG00000002821|ENSRNOT00000003840|protein_coding|Phlpp1|PH	MA	0.060445500000000006	0.15249000000000001	0.39639	5.53941e-09	4293	374.056	3918.94		274	53.1736	220.826			0.0684655	0.847757:0.985756:0.553584:0.947423:0.323165:1	0.670507(0.580656:0.431564:0.999302)	-5975.01			
55	ENSDORP00000000557|ENSDORG00000000597|ENSDORT00000000599|protein_coding|Ube4b|ubiquitination-ENSRNOP00000052435|ENSRNOG00000014986|ENSRNOT00000055572|protein_coding|Ube4b|ubiquitination	MA	0.012823500000000002	0.0305254	0.420092	0.018861199999999998	3516	275.332	3240.67		49	8.24292	40.7571			0.0142097	1.2633:1.68942:0.845695:1.37962:0.197282:1	0.637113(0.525575:0.386616:0.999147)	-4189.34			
56	ENSDORP00000012111|ENSDORG00000012877|ENSDORT00000012881|protein_coding|Flt4|fms-ENSRNOP00000003519|ENSRNOG00000002511|ENSRNOT00000003519|protein_coding|Flt4|fms-related	MA	0.053660900000000004	0.134401	0.39926	1.68518e-07	4086	335.591	3750.41		231	42.2927	188.707			0.0602923	1.59837:1.84004:1.13051:1.53467:0.357427:1	0.662265(0.555026:0.432502:0.999266)	-5599.92			
57	ENSDORP00000023255|ENSDORG00000008408|ENSDORT00000036692|protein_coding|Slc12a6|solute-ENSRNOP00000007144|ENSRNOG00000005196|ENSRNOT00000007144|protein_coding|Slc12a6|solute	MA	0.013256100000000002	0.0259339	0.51115	0.07150160000000001	3450	310.106	3139.89		49	7.93457	41.0654			0.014395699999999999	3.7174:3.86662:2.92447:3.65204:0.349775:1	0.639299(0.516073:0.402693:0.999131)	-4096.38			
58	ENSDORP00000022839|ENSDORG00000004171|ENSDORT00000029904|protein_coding|Nos3|nitric-ENSRNOP00000013058|ENSRNOG00000009348|ENSRNOT00000013058|protein_coding|Nos3|nitric	MA	0.023242500000000003	0.021313299999999997	1.0905200000000002	0.855209	3591	382.315	3208.69		81	7.97835	73.0216			0.023037099999999998	0.836751:1.20535:0.634776:1.07839:0.226076:1	0.692821(0.596828:0.482471:0.999165)	-4473.62			
59	ENSDORP00000020872|ENSDORG00000007949|ENSDORT00000027260|protein_coding|Plcb1|phospholipase-ENSRNOP00000006389|ENSRNOG00000004810|ENSRNOT00000006389|protein_coding|Plcb1|phospholipase	MA	0.011431700000000001	0.0199103	0.574158	0.132097	3405	215.808	3189.19		40	4.21725	35.7828			0.0119691	2.12942:1.83634:1.37249:1.94475:0.15918:1	0.622506(0.534771:0.333627:0.99912)	-3943.48			
60	ENSDORP00000026743|ENSDORG00000008382|ENSDORT00000033602|protein_coding|Ambra1|autophagy-ENSRNOP00000039742|ENSRNOG00000017422|ENSRNOT00000045644|protein_coding|Ambra1|autophagy	MA	0.0361848	0.042232099999999995	0.856809	0.426253	3726	319.328	3406.67		132	13.0169	118.98299999999999			0.0367031	0.874345:0.940531:0.735401:0.925197:0.313012:1	0.685975(0.537409:0.521319:0.999195)	-4753.63			
