	Protein	Symbol	Gene Prefix
97	sterile alpha and TIR motif containing 1	SARM1	SARM
98	serpin family E member 2	SERPINE2	SERPINE
99	serpin	SERPING1	SERPING
100	sestrin 3	SESN3	SESN
101	SH3 domain containing ring finger 2	SH3RF2	SH
102	shieldin complex subunit 2	SHLD2	SHLD
103	sialic acid acetylesterase	SIAE	SIAE
104	SIX homeobox 1	SIX1	SIX
105	solute carrier family 30 member 10	SLC30A10	SLC
106	solute carrier family 6 member 3	SLC6A3	SLC
107	solute carrier family 6 member 4	SLC6A4	SLC
108	SMAD family member 3	SMAD3	SMAD
109	SPARC related modular calcium binding 2	SMOC2	SMOC
110	suppressor of cytokine signaling 2	SOCS2	SOCS
111	suppressor of cytokine signaling 6	SOCS6	SOCS
112	suppression of tumorigenicity 7 like	ST7L	ST
113	syntaxin 4	STX4	STX
114	synaptotagmin 11	SYT11	SYT
115	synoviolin 1	SYVN1	SYVN
116	TAO kinase 2	TAOK2	TAOK
117	TBC1 domain family member 23	TBC1D23	TBC
118	"thymocyte expressed, positive selection associated 1"	TESPA1	TESPA
119	thymocyte selection associated family member 2	THEMIS2	THEMIS
120	TIR domain containing adaptor protein	TIRAP	TIRAP
121	tumor necrosis factor	TNF	TNF
122	TRAF2	TNIK	TNIK
123	"transducer of ERBB2, 2"	TOB2	TOB
124	TNFRSF1A associated via death domain	TRADD	TRADD
125	tripartite	TRIM44	TRIM
126	unc-5 family C-terminal like	UNC5CL	UNC
127	ubiquitin specific peptidase 19	USP19	USP
128	vesicle associated membrane protein 8	VAMP8	VAMP
129	Wnt family member 4	WNT4	WNT
